Track ID,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode
1xzBco0xcoJEDXktl7Jxrr,0.729,0.625,-5.266,0.194,0.00986,0.248,0.0315,146.034,4,1
2BJSMvOGABRxokHKB0OI8i,0.673,0.649,-8.433,0.188,0,0.122,0.196,153.075,1,0
577YBGuskWkVDCxZrLRB4v,0.964,0.487,-6.071,0.00127,6.57e-06,0.115,0.421,127.05,10,0
1fewSx2d5KIZ04wsooEBOz,0.901,0.464,-9.789,0.368,1.71e-05,0.238,0.0645,109.004,5,0
0B8QzDH7YWih85V5SEMnyJ,0.795,0.568,-7.817,0.0541,0,0.108,0.142,136.173,5,0
0uxSUdBrJy9Un0EYoBowng,0.773,0.75,-4.009,0.109,0,0.174,0.117,123.426,8,0
11kDth1aKUEUMq9r1pqyds,0.712,0.481,-5.415,0.173,0,0.241,0.0487,140.0,4,0
5eqK0tbzUPo2SoeZsov04s,0.884,0.347,-8.227,0.015,7e-06,0.0871,0.35,75.016,8,0
1f5cbQtDrykjarZVrShaDI,0.839,0.81,-5.274,0.501,0,0.117,0.0568,129.014,5,0
4apiNNK0jp9uqn3JDG9My1,0.28,0.821,-2.864,0.167,0,0.139,0.111,181.444,8,0
5wujBwqG7INdStqGd4tRMX,0.736,0.67,-6.702,0.186,0,0.114,0.311,130.032,10,1
2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,-9.579,0.0635,0,0.0834,0.324,145.887,5,0
527k23H0A4Q0UJN3vGs0Da,0.629,0.692,-8.045,0.00981,0.331,0.603,0.0376,162.948,5,1
2bSk87AVkCIIC3Bcligq1z,0.716,0.541,-7.909,0.0021,0,0.115,0.149,139.978,1,1
1e1JKLEDKP7hEQzJfNAgPl,0.791,0.582,-7.323,0.0114,0,0.35,0.286,162.991,11,0
3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,-4.711,0.000307,2.41e-06,0.093,0.175,165.921,0,1
6ZthdsKjWtiCxnxbhs74vF,0.952,0.478,-8.52,0.774,0,0.112,0.361,118.008,5,0
