Track ID,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode
4XX1pFUkQOZTYp6Hb6a6Ae,0.722,0.961,-4.812,0.0883,0.61,0.278,0.0514,126.113,9,1
4QZ6hp2CKRaZG5RI9zXQqg,0.691,0.725,-3.501,0.297,0,0.268,0.0272,132.554,7,1
1dgWTMoHwTUnQhOQ8SR5fV,0.782,0.589,-7.37,0.0476,5.84e-06,0.0366,0.0803,85.022,0,1
6MLmUqbZYBayTTMo026pdY,0.558,0.563,-11.416,0.0224,3e-05,0.0628,0.0443,128.858,9,0
2qdVHdkLxKntNjPh3Ssz7s,0.542,0.346,-6.598,0.342,0,0.283,0.0296,139.856,9,1
0lKKV6SOFwXl29oeCyyXEj,0.609,0.843,-9.575,0.0454,0,0.28,0.0386,128.829,9,1
2qHGDQmfxScbqf0BAwakKI,0.674,0.693,-4.777,0.22,0.000197,0.0956,0.0579,159.926,8,1
5XqHOqbjKb7YsQV6f3eGeD,0.594,0.621,-6.23,0.0403,0,0.117,0.0274,77.005,6,1
698eQRku24PIYPQPHItKlA,0.533,0.907,-3.793,0.0292,0,0.386,0.0406,150.99,11,1
26bL4gSULWDgdIMX0pRFrG,0.499,0.825,-5.146,0.13,0,0.306,0.177,185.069,6,1
0rpwb2kLgS6KAZsostOj1O,0.549,0.622,-5.504,0.0438,0,0.166,0.0289,141.804,5,1
2Cdvbe2G4hZsnhNMKyGrie,0.535,0.716,-5.025,0.326,0,0.659,0.0431,94.379,4,1
1ot6jEe4w4hYnsOPjd3xKQ,0.59,0.868,-5.832,0.0962,0.000322,0.442,0.048,184.348,5,0
1mskmld5ZKEhRaNvYVPoqZ,0.776,0.743,-6.807,0.107,0.293,0.149,0.0289,131.343,9,1
3VsnfupUj0vtPG1t8dKbxC,0.465,0.788,-4.808,0.0774,0,0.0854,0.0502,128.029,0,1
0U5sKurNP7yqpaxGBzGiyE,0.731,0.853,-4.219,0.035,0,0.268,0.0362,108.016,10,0
6P4XyViJkq9QGEHtzfMIrH,0.506,0.895,-4.069,0.0417,5.47e-06,0.252,0.0363,140.044,4,1
5NhZkLMccDVhxocmVHDu4G,0.488,0.855,-3.417,0.287,0,0.132,0.0399,148.971,7,1
4O7sDupv5V7qEBk96qOZyi,0.592,0.383,-13.076,0.654,0,0.0982,0.0494,78.954,9,1
1YmT3bHeND3IQQ1WLH03jQ,0.3,0.574,-5.126,0.426,2.27e-05,0.0939,0.0316,95.712,2,1
5L5JUSGOaH6lulTUltJfgE,0.701,0.901,-4.34,0.018,1.08e-06,0.0665,0.046,121.022,5,1
67WqQt65XzFxgqwAfJu7fZ,0.864,0.33,-12.837,0.754,9.5e-06,0.0809,0.0439,112.722,2,1
5taqvRgn1DdZ117p2DhPXQ,0.439,0.665,-7.671,0.474,1.56e-05,0.26,0.0351,168.707,7,1
5E6bTiJ2rB18M1DNqkm1V4,0.668,0.802,-4.005,0.0273,0,0.163,0.0917,113.796,5,0
717z018DWodjJnW6DE7t4z,0.685,0.698,-7.478,0.468,0,0.0237,0.0432,138.061,2,1
4UIOPiM5kNcJFUoRtdDRZa,0.51,0.683,-4.338,0.166,0,0.0795,0.0302,159.918,0,1
0G207Gng7y7XsGxjycXZQx,0.74,0.451,-12.497,0.332,0,0.203,0.081,145.498,9,1
2ulBBx6YQ3qY3ci34RadtN,0.783,0.698,-8.268,0.522,2.52e-06,0.0754,0.0323,124.996,3,1
2Pzhx26KqgTTKnko0uC7F7,0.758,0.683,-11.521,0.135,0.000227,0.345,0.0314,129.251,7,1
26Cp8dnAmqRY6od1ZYQp6r,0.656,0.728,-12.39,0.0214,0.000107,0.242,0.0277,134.431,7,1
7J9ARWRkMtXMYeF8RxJEjn,0.605,0.228,-16.116,0.703,0.00198,0.0936,0.0267,78.31,7,1
3JNmEE0XbKM6X591c93BOI,0.618,0.279,-14.367,0.341,0.0108,0.0913,0.0254,97.085,7,1
0i5HtqKaBgIpAC7N0kknqu,0.515,0.764,-4.73,0.466,0,0.11,0.0304,132.909,7,1
7FP28A0mKv3BjqvDAxwc0P,0.561,0.837,-5.517,0.0249,7.65e-05,0.143,0.0405,129.984,11,0
11IzgLRXV7Cgek3tEgGgjw,0.671,0.711,-7.813,0.422,0,0.104,0.0478,113.809,2,1
3MrWxJaD2AT0W9DjWF64Vm,0.45,0.656,-7.049,0.664,3.02e-06,0.259,0.0472,106.61,2,1
52MNypbTWiwybwzhXvsPk5,0.542,0.797,-4.45,0.00111,0,0.0906,0.0379,113.95,9,0
32jHB7W9b08OTorAqR0cJo,0.608,0.825,-6.303,0.024,0.00656,0.346,0.0419,115.049,2,1
5BckPAYcKEJuYs1eV1BHHe,0.684,0.675,-8.123,0.163,0,0.242,0.0257,107.064,11,1
1BjQ4UMtFEevraJaLt0Ode,0.631,0.805,-5.37,0.132,0,0.167,0.127,160.079,11,0
2tjskutXjrrfAyoSw4q4kb,0.566,0.559,-8.165,0.215,0.00227,0.324,0.0334,118.276,5,1
0rK4HCKzv2r1IXqKX3DKpq,0.463,0.674,-5.422,0.0115,0,0.123,0.0319,84.039,7,1
3kv6omImmKEfOVJWjstusF,0.558,0.872,-4.401,0.178,0,0.173,0.0449,143.971,9,1
72iAaOAsrBYa4U0VV7cHFd,0.584,0.716,-4.737,0.00733,0,0.0879,0.0342,90.005,0,1
6sxptembJVty4sNtcPMAVz,0.657,0.639,-7.527,0.581,0,0.278,0.0412,124.882,10,1
65R0xYBefZnX9ho6ypOADM,0.534,0.508,-7.085,0.379,0,0.0867,0.0322,153.947,2,1
5KsGeqTJgJMAWuyTZ5WmMn,0.651,0.938,-6.691,0.341,0.0243,0.0261,0.0339,130.958,1,1
6o9XL4IefYACErjn7TwyHL,0.483,0.206,-13.036,0.6,5.69e-06,0.247,0.0326,179.262,5,1
2lf3fWzNhL5518BVE9iUlt,0.586,0.939,-3.252,0.344,1.21e-06,0.181,0.0759,147.894,0,1
